state,action,reward,next_state,reward_detail
243|169|124|87|73|21,334|316|325,1,169|124|87|73|21|316,[0 1 0]
401|60|207|351|143|224,42|206|319,1,60|207|351|143|224|319,[0 0 1]
331|115|432|442|375|259,348|14|131,1,115|432|442|375|259|14,[0 1 0]
145|58|250|373|288|379,442|138|48,11,373|288|379|442|138|48,[5 1 5]
410|433|171|300|309|86,50|401|295,2,171|300|309|86|50|295,[1 0 1]
80|245|216|341|433|101,372|436|300,6,216|341|433|101|372|436,[1 5 0]
290|449|272|348|158|122,333|307|429,5,449|272|348|158|122|307,[0 5 0]
216|241|386|215|421|107,364|100|351,6,386|215|421|107|364|100,[5 1 0]
100|238|128|448|298|456,373|294|93,1,238|128|448|298|456|93,[0 0 1]
53|59|421|153|246|6,364|129|297,0,53|59|421|153|246|6,[0 0 0]
207|319|282|107|86|142,323|491|184,2,282|107|86|142|323|491,[1 1 0]
337|141|147|210|113|394,363|203|195,0,337|141|147|210|113|394,[0 0 0]
253|204|150|66|178|8,5|307|316,1,204|150|66|178|8|307,[0 1 0]
260|197|245|199|272|190,335|1|43,6,245|199|272|190|335|43,[1 0 5]
41|53|343|196|483|374,264|159|71,2,343|196|483|374|264|159,[1 1 0]
351|30|167|355|17|263,221|233|384,1,30|167|355|17|263|221,[1 0 0]
315|274|424|136|348|286,20|344|218,11,136|348|286|20|344|218,[5 5 1]
450|113|208|134|338|210,490|75|362,1,113|208|134|338|210|75,[0 1 0]
61|97|173|468|122|430,124|113|278,7,468|122|430|124|113|278,[1 1 5]
267|269|31|146|407|19,409|147|239,1,269|31|146|407|19|147,[0 1 0]
467|33|430|6|481|174,130|2|241,1,33|430|6|481|174|130,[1 0 0]
450|406|374|233|463|8,415|350|124,6,374|233|463|8|415|124,[1 0 5]
115|404|59|15|338|282,313|205|87,2,59|15|338|282|205|87,[0 1 1]
266|197|408|112|269|60,176|71|254,1,197|408|112|269|60|176,[1 0 0]
394|213|154|195|74|103,282|80|106,5,213|154|195|74|103|282,[5 0 0]
470|221|429|43|174|477,349|251|118,1,221|429|43|174|477|251,[0 1 0]
262|120|446|384|405|195,210|484|108,6,446|384|405|195|210|108,[1 0 5]
179|278|350|299|109|71,303|100|316,6,350|299|109|71|303|100,[1 5 0]
202|203|430|208|192|175,177|481|340,1,203|430|208|192|175|340,[0 0 1]
102|279|295|330|8|209,320|303|353,5,279|295|330|8|209|353,[0 0 5]
359|256|3|262|145|323,140|254|206,1,256|3|262|145|323|206,[0 0 1]
356|191|116|150|366|115,110|392|214,6,116|150|366|115|110|214,[5 0 1]
217|1|395|362|78|365,341|251|253,1,1|395|362|78|365|341,[1 0 0]
192|53|358|464|411|20,259|68|344,6,358|464|411|20|259|68,[1 5 0]
4|420|312|357|437|128,234|293|283,10,312|357|437|128|293|283,[0 5 5]
65|167|318|2|190|443,112|84|252,0,65|167|318|2|190|443,[0 0 0]
246|83|410|5|478|214,198|237|455,10,410|5|478|214|198|237,[5 5 0]
374|74|258|159|156|40,481|7|365,11,159|156|40|481|7|365,[5 1 5]
90|158|97|157|108|220,145|297|164,0,90|158|97|157|108|220,[0 0 0]
488|190|330|126|145|28,312|477|442,1,190|330|126|145|28|477,[0 1 0]
120|466|134|226|206|366,393|261|81,3,226|206|366|393|261|81,[1 1 1]
374|42|180|279|268|21,373|258|118,10,180|279|268|21|373|258,[5 5 0]
450|203|394|458|347|24,455|19|234,6,394|458|347|24|455|19,[5 1 0]
356|359|178|273|382|110,357|226|310,1,359|178|273|382|110|226,[0 1 0]
487|469|101|69|243|405,174|115|67,7,69|243|405|174|115|67,[5 1 1]
412|257|121|56|439|95,475|181|101,0,412|257|121|56|439|95,[0 0 0]
308|252|9|441|386|294,240|129|142,1,252|9|441|386|294|129,[0 1 0]
276|0|142|54|259|467,147|331|486,1,0|142|54|259|467|486,[0 0 1]
58|307|452|469|9|171,418|374|158,1,307|452|469|9|171|374,[0 1 0]
199|432|156|114|177|402,456|267|132,7,114|177|402|456|267|132,[1 5 1]
24|345|117|343|198|406,204|396|165,1,345|117|343|198|406|165,[0 0 1]
12|156|354|188|206|10,486|193|134,2,354|188|206|10|193|134,[0 1 1]
211|124|273|303|366|199,37|160|37,0,211|124|273|303|366|199,[0 0 0]
469|311|256|438|159|469,383|371|184,2,256|438|159|469|383|184,[1 0 1]
258|109|61|434|308|456,307|371|152,5,109|61|434|308|456|307,[5 0 0]
205|169|125|10|320|349,149|111|315,1,169|125|10|320|349|149,[1 0 0]
234|382|249|312|195|116,405|170|433,3,312|195|116|405|170|433,[1 1 1]
395|447|181|412|300|82,351|132|158,6,181|412|300|82|132|158,[0 1 5]
206|399|151|345|4|290,432|31|430,3,345|4|290|432|31|430,[1 1 1]
195|123|497|144|341|274,154|402|385,6,497|144|341|274|402|385,[0 1 5]
293|120|283|154|286|284,429|239|152,1,120|283|154|286|284|239,[0 1 0]
15|146|367|25|201|151,373|329|21,0,15|146|367|25|201|151,[0 0 0]
219|118|257|188|335|479,289|161|139,2,257|188|335|479|161|139,[0 1 1]
328|67|18|168|151|266,354|149|234,5,67|18|168|151|266|354,[5 0 0]
51|377|89|28|109|326,165|33|188,3,28|109|326|165|33|188,[1 1 1]
455|151|202|43|291|422,377|100|305,0,455|151|202|43|291|422,[0 0 0]
10|322|253|383|451|71,24|22|67,5,322|253|383|451|71|24,[5 0 0]
120|90|342|63|230|307,452|116|473,10,342|63|230|307|452|473,[5 0 5]
173|9|183|363|102|128,248|50|186,3,363|102|128|248|50|186,[1 1 1]
278|177|121|416|366|307,146|488|107,2,121|416|366|307|146|107,[1 0 1]
190|184|436|334|31|61,487|488|11,0,190|184|436|334|31|61,[0 0 0]
115|193|182|271|40|202,413|60|254,0,115|193|182|271|40|202,[0 0 0]
308|191|249|395|76|405,187|172|87,1,191|249|395|76|405|87,[0 0 1]
73|132|178|155|478|134,272|453|396,6,178|155|478|134|272|453,[1 5 0]
163|374|278|124|427|31,385|21|401,0,163|374|278|124|427|31,[0 0 0]
307|66|344|280|487|144,270|202|492,2,344|280|487|144|270|202,[1 1 0]
485|218|206|97|219|123,59|368|8,6,206|97|219|123|368|8,[0 1 5]
427|483|270|308|479|5,394|464|190,10,270|308|479|5|394|190,[5 0 5]
250|277|396|332|414|314,424|314|318,2,396|332|414|314|424|318,[1 0 1]
118|66|93|320|179|324,344|195|193,7,320|179|324|344|195|193,[1 5 1]
55|416|296|187|297|366,424|235|141,0,55|416|296|187|297|366,[0 0 0]
108|341|198|460|395|452,259|45|471,1,341|198|460|395|452|45,[0 1 0]
175|88|74|67|232|373,167|133|87,2,74|67|232|373|133|87,[0 1 1]
359|404|409|54|345|192,438|255|217,1,404|409|54|345|192|255,[0 1 0]
185|77|431|241|274|377,213|5|367,3,241|274|377|213|5|367,[1 1 1]
410|109|263|174|354|97,309|164|183,1,109|263|174|354|97|183,[0 0 1]
387|40|458|217|135|77,34|426|42,0,387|40|458|217|135|77,[0 0 0]
226|166|491|269|348|163,125|134|14,11,269|348|163|125|134|14,[5 5 1]
234|237|285|362|249|29,318|425|47,1,237|285|362|249|29|318,[1 0 0]
149|25|364|161|27|191,211|120|290,11,161|27|191|211|120|290,[5 1 5]
378|288|105|122|309|45,166|402|327,2,105|122|309|45|166|402,[1 1 0]
302|2|449|5|367|378,398|275|122,2,449|5|367|378|275|122,[0 1 1]
356|96|78|415|429|281,301|459|484,7,415|429|281|301|459|484,[5 1 1]
19|438|73|471|182|119,387|326|21,5,438|73|471|182|119|21,[0 0 5]
445|412|12|351|78|381,220|23|126,5,412|12|351|78|381|126,[0 0 5]
300|445|202|449|439|111,359|27|81,5,445|202|449|439|111|27,[0 5 0]
386|5|46|174|383|79,35|42|375,2,46|174|383|79|35|375,[1 0 1]
330|320|234|66|40|7,341|443|129,1,320|234|66|40|7|129,[0 0 1]
273|397|264|180|209|474,463|189|414,5,397|264|180|209|474|463,[5 0 0]
137|425|452|218|104|497,275|208|318,1,425|452|218|104|497|318,[0 0 1]
436|354|84|322|422|418,294|305|455,0,436|354|84|322|422|418,[0 0 0]
475|85|320|247|99|287,404|191|64,10,320|247|99|287|404|191,[5 5 0]
412|365|257|259|449|310,180|16|326,10,257|259|449|310|180|326,[5 0 5]
90|356|321|270|424|1,278|151|77,2,321|270|424|1|278|151,[1 1 0]
338|288|450|460|139|90,70|363|132,1,288|450|460|139|90|70,[1 0 0]
9|297|76|387|402|44,81|1|205,1,297|76|387|402|44|81,[1 0 0]
80|186|50|304|255|107,391|337|236,1,186|50|304|255|107|391,[1 0 0]
328|79|374|472|273|13,435|472|231,1,79|374|472|273|13|472,[0 1 0]
332|389|310|254|375|287,387|193|29,6,310|254|375|287|387|29,[1 0 5]
440|126|158|261|186|402,193|188|450,1,126|158|261|186|402|193,[1 0 0]
29|416|371|210|337|164,280|306|231,2,371|210|337|164|280|231,[1 0 1]
50|462|489|324|40|119,396|148|35,6,489|324|40|119|396|148,[5 1 0]
171|355|301|37|439|275,320|122|183,0,171|355|301|37|439|275,[0 0 0]
242|341|32|0|425|469,352|137|433,0,242|341|32|0|425|469,[0 0 0]
235|150|64|280|270|236,217|391|115,5,150|64|280|270|236|115,[0 0 5]
58|163|328|279|220|472,116|459|21,6,328|279|220|472|459|21,[0 1 5]
362|46|486|286|105|420,338|89|251,2,486|286|105|420|338|251,[1 0 1]
315|211|84|45|32|304,328|17|160,3,45|32|304|328|17|160,[1 1 1]
324|138|321|68|268|481,25|87|191,0,324|138|321|68|268|481,[0 0 0]
339|307|173|284|109|411,201|148|358,5,307|173|284|109|411|201,[5 0 0]
79|82|233|387|174|269,400|88|422,7,387|174|269|400|88|422,[1 1 5]
254|442|173|435|420|451,30|410|239,10,173|435|420|451|30|239,[5 0 5]
130|167|135|252|393|373,395|131|162,0,130|167|135|252|393|373,[0 0 0]
78|215|113|101|207|344,490|403|127,2,113|101|207|344|490|127,[1 0 1]
326|157|55|19|146|18,126|283|375,1,157|55|19|146|18|283,[0 1 0]
44|266|358|445|333|293,463|357|11,2,358|445|333|293|463|11,[1 0 1]
72|343|312|220|32|239,90|353|260,0,72|343|312|220|32|239,[0 0 0]
229|462|85|223|58|69,300|333|401,2,85|223|58|69|333|401,[0 1 1]
125|488|285|377|392|323,272|67|190,0,125|488|285|377|392|323,[0 0 0]
244|364|296|406|279|444,104|389|22,1,364|296|406|279|444|104,[1 0 0]
239|203|316|4|443|196,365|171|341,2,316|4|443|196|365|341,[1 0 1]
376|288|363|84|432|367,324|309|273,0,376|288|363|84|432|367,[0 0 0]
263|218|174|304|32|45,143|458|220,2,174|304|32|45|143|220,[1 0 1]
462|64|389|230|55|189,281|415|83,7,230|55|189|281|415|83,[1 1 5]
128|377|101|437|191|20,300|455|15,6,101|437|191|20|300|455,[1 5 0]
120|167|172|94|45|176,467|442|301,5,167|172|94|45|176|467,[5 0 0]
408|272|304|499|255|87,379|229|161,3,499|255|87|379|229|161,[1 1 1]
460|231|408|404|164|463,314|17|474,1,231|408|404|164|463|314,[1 0 0]
468|259|231|368|273|159,336|114|209,1,259|231|368|273|159|209,[0 0 1]
160|99|14|394|343|354,340|309|190,6,14|394|343|354|340|309,[5 1 0]
92|110|466|315|131|479,133|155|482,1,110|466|315|131|479|482,[0 0 1]
103|172|405|481|126|339,386|319|312,1,172|405|481|126|339|319,[0 1 0]
458|497|312|206|307|119,68|71|226,5,497|312|206|307|119|68,[5 0 0]
195|494|48|217|271|314,111|465|391,1,494|48|217|271|314|465,[0 1 0]
141|15|145|334|368|29,374|222|33,1,15|145|334|368|29|33,[0 0 1]
3|154|376|75|250|233,208|382|387,0,3|154|376|75|250|233,[0 0 0]
96|215|407|483|32|275,431|470|497,5,215|407|483|32|275|497,[0 0 5]
441|263|11|86|387|293,95|275|244,1,263|11|86|387|293|244,[0 0 1]
191|288|221|157|304|329,409|397|298,5,288|221|157|304|329|409,[5 0 0]
170|427|443|310|303|360,237|151|486,6,443|310|303|360|237|151,[1 5 0]
114|272|212|83|269|324,66|198|309,7,83|269|324|66|198|309,[1 5 1]
94|296|76|310|14|419,460|457|92,3,310|14|419|460|457|92,[1 1 1]
32|23|259|15|251|13,108|199|227,1,23|259|15|251|13|227,[0 0 1]
249|62|496|58|223|242,428|11|414,10,496|58|223|242|428|414,[5 0 5]
316|4|218|213|140|246,56|426|452,1,4|218|213|140|246|56,[1 0 0]
437|104|56|475|406|336,413|245|391,1,104|56|475|406|336|245,[0 1 0]
230|151|89|130|272|416,184|95|458,11,130|272|416|184|95|458,[5 5 1]
316|292|112|131|272|352,58|442|86,7,131|272|352|58|442|86,[1 1 5]
348|332|156|120|252|347,393|186|219,7,120|252|347|393|186|219,[5 1 1]
419|123|379|352|451|351,491|348|240,1,123|379|352|451|351|491,[1 0 0]
220|259|264|306|0|271,360|461|242,1,259|264|306|0|271|360,[1 0 0]
362|214|459|165|380|58,96|160|268,2,459|165|380|58|160|268,[0 1 1]
469|350|10|197|70|165,438|144|41,6,10|197|70|165|438|144,[5 1 0]
42|497|320|350|77|254,217|336|23,1,497|320|350|77|254|336,[0 1 0]
10|306|386|392|136|39,179|402|400,1,306|386|392|136|39|400,[0 0 1]
21|75|217|138|328|440,459|105|295,6,217|138|328|440|105|295,[0 5 1]
329|336|366|70|228|415,92|21|2,3,70|228|415|92|21|2,[1 1 1]
151|5|420|268|247|268,286|446|318,2,420|268|247|268|286|446,[1 1 0]
476|491|171|311|378|316,237|480|8,7,311|378|316|237|480|8,[1 5 1]
60|434|484|472|215|410,25|24|371,7,472|215|410|25|24|371,[1 5 1]
202|440|91|496|37|154,349|430|462,1,440|91|496|37|154|462,[0 0 1]
383|123|262|230|431|17,238|137|259,6,262|230|431|17|137|259,[0 1 5]
239|123|200|231|440|290,305|395|279,1,123|200|231|440|290|305,[1 0 0]
219|151|477|85|183|87,279|369|363,5,151|477|85|183|87|363,[0 0 5]
408|312|145|289|314|366,201|482|276,0,408|312|145|289|314|366,[0 0 0]
456|133|216|11|197|238,57|186|395,0,456|133|216|11|197|238,[0 0 0]
447|455|24|149|349|214,455|408|456,1,455|24|149|349|214|455,[1 0 0]
13|289|118|68|414|162,411|445|146,2,118|68|414|162|445|146,[0 1 1]
242|230|316|0|56|152,111|45|401,5,230|316|0|56|152|401,[0 0 5]
72|242|66|31|274|295,460|437|72,6,66|31|274|295|460|72,[1 0 5]
471|33|235|50|13|203,432|269|459,0,471|33|235|50|13|203,[0 0 0]
457|239|337|170|75|338,85|49|322,6,337|170|75|338|85|322,[5 0 1]
324|377|55|250|14|284,453|97|241,1,377|55|250|14|284|453,[1 0 0]
298|70|477|90|221|274,58|123|51,2,477|90|221|274|123|51,[0 1 1]
296|37|395|276|134|339,78|483|369,2,395|276|134|339|78|369,[1 0 1]
344|360|433|153|455|435,218|474|140,10,433|153|455|435|474|140,[0 5 5]
186|342|389|24|381|366,345|163|121,0,186|342|389|24|381|366,[0 0 0]
181|238|470|180|433|416,206|29|149,0,181|238|470|180|433|416,[0 0 0]
102|338|156|178|137|282,48|358|205,0,102|338|156|178|137|282,[0 0 0]
351|225|14|283|353|81,90|200|211,7,283|353|81|90|200|211,[5 1 1]
83|237|273|67|53|178,225|70|259,0,83|237|273|67|53|178,[0 0 0]
200|346|239|88|170|96,147|167|25,11,88|170|96|147|167|25,[1 5 5]
83|345|278|477|227|210,474|45|119,10,278|477|227|210|474|119,[5 0 5]
478|369|416|75|335|256,182|138|74,2,416|75|335|256|182|138,[1 1 0]
47|401|466|175|121|352,339|354|377,5,401|466|175|121|352|339,[5 0 0]
434|228|79|252|368|183,319|24|230,6,79|252|368|183|319|230,[5 0 1]
368|401|465|262|345|187,7|243|160,1,401|465|262|345|187|7,[1 0 0]
289|454|435|109|57|277,212|427|130,2,435|109|57|277|212|130,[1 0 1]
51|313|329|159|269|487,473|344|224,6,329|159|269|487|344|224,[0 1 5]
164|289|235|265|252|20,134|57|233,0,164|289|235|265|252|20,[0 0 0]
174|195|440|138|3|45,140|460|27,1,195|440|138|3|45|140,[1 0 0]
364|389|21|344|31|191,311|38|282,1,389|21|344|31|191|311,[1 0 0]
196|37|375|26|63|401,447|132|318,1,37|375|26|63|401|447,[1 0 0]
97|4|383|141|185|159,476|275|88,1,4|383|141|185|159|88,[0 0 1]
321|386|10|77|228|189,38|35|249,6,10|77|228|189|38|35,[5 1 0]
157|185|389|139|4|98,348|147|277,1,185|389|139|4|98|147,[0 1 0]
281|229|127|214|475|355,396|338|283,7,214|475|355|396|338|283,[1 5 1]
282|380|488|311|375|114,3|434|166,0,282|380|488|311|375|114,[0 0 0]
435|332|54|167|305|318,261|184|228,0,435|332|54|167|305|318,[0 0 0]
260|22|214|484|40|177,244|285|149,7,484|40|177|244|285|149,[5 1 1]
150|331|173|70|218|92,53|252|393,3,70|218|92|53|252|393,[1 1 1]
187|468|443|7|24|470,28|260|486,5,468|443|7|24|470|486,[0 0 5]
492|326|382|228|382|112,321|123|440,5,326|382|228|382|112|440,[0 0 5]
124|182|281|288|36|343,4|458|234,11,288|36|343|4|458|234,[5 1 5]
386|321|464|111|205|121,175|492|373,5,321|464|111|205|121|175,[5 0 0]
426|397|476|38|286|149,66|236|426,2,476|38|286|149|66|236,[1 1 0]
288|291|312|132|51|143,344|307|146,5,291|312|132|51|143|344,[5 0 0]
408|37|33|421|298|109,66|273|308,2,33|421|298|109|66|273,[1 1 0]
113|194|483|198|275|413,235|190|166,2,483|198|275|413|235|190,[1 1 0]
106|459|226|0|440|373,269|378|179,2,226|0|440|373|269|179,[1 0 1]
411|94|348|284|255|306,152|24|224,1,94|348|284|255|306|152,[1 0 0]
33|248|257|12|166|25,447|356|321,5,248|257|12|166|25|356,[0 5 0]
161|358|125|358|167|239,309|469|387,1,358|125|358|167|239|309,[1 0 0]
210|424|220|146|96|459,487|390|307,6,220|146|96|459|390|307,[0 5 1]
73|98|487|161|449|365,67|341|304,11,161|449|365|67|341|304,[1 5 5]
326|87|164|309|190|267,238|18|401,1,87|164|309|190|267|401,[0 0 1]
262|260|446|191|106|102,19|323|147,2,446|191|106|102|323|147,[0 1 1]
488|201|154|301|478|99,11|121|140,1,201|154|301|478|99|140,[0 0 1]
333|169|235|419|346|287,352|317|423,1,169|235|419|346|287|317,[0 1 0]
35|31|2|104|305|66,241|373|268,2,2|104|305|66|241|268,[1 0 1]
52|493|36|311|84|147,207|143|126,5,493|36|311|84|147|207,[5 0 0]
66|296|92|230|48|64,416|77|60,1,296|92|230|48|64|416,[1 0 0]
425|159|384|137|30|299,343|88|199,0,425|159|384|137|30|299,[0 0 0]
129|494|426|338|254|221,236|488|247,6,426|338|254|221|236|488,[1 5 0]
491|251|325|233|340|158,272|426|343,0,491|251|325|233|340|158,[0 0 0]
42|129|13|9|451|418,263|11|130,5,129|13|9|451|418|130,[0 0 5]
85|283|138|278|447|365,239|293|449,6,138|278|447|365|293|449,[0 1 5]
156|311|8|430|346|193,444|289|6,0,156|311|8|430|346|193,[0 0 0]
154|318|24|345|208|341,45|437|358,1,318|24|345|208|341|45,[1 0 0]
78|385|37|489|461|299,99|136|355,0,78|385|37|489|461|299,[0 0 0]
213|50|43|275|43|276,297|382|403,2,43|275|43|276|297|403,[1 0 1]
59|59|313|314|70|121,215|173|261,6,313|314|70|121|173|261,[0 5 1]
106|450|8|266|45|267,29|129|145,1,450|8|266|45|267|29,[1 0 0]
327|9|179|327|150|210,368|179|405,1,9|179|327|150|210|405,[0 0 1]
211|60|131|113|36|424,155|326|188,0,211|60|131|113|36|424,[0 0 0]
353|218|20|165|361|415,492|186|109,5,218|20|165|361|415|186,[0 5 0]
106|329|185|143|314|16,471|76|328,5,329|185|143|314|16|471,[5 0 0]
133|247|67|422|9|392,189|190|157,5,247|67|422|9|392|189,[5 0 0]
55|362|131|18|46|162,364|276|471,6,131|18|46|162|364|471,[1 0 5]
91|174|196|257|395|87,290|195|329,2,196|257|395|87|195|329,[0 1 1]
488|111|0|305|473|448,172|435|200,11,305|473|448|172|435|200,[1 5 5]
353|17|64|182|38|186,226|208|136,6,64|182|38|186|226|208,[5 1 0]
302|412|14|471|366|301,466|290|431,10,14|471|366|301|466|290,[5 5 0]
294|158|118|158|90|223,29|12|88,6,118|158|90|223|29|12,[1 5 0]
328|293|33|466|150|373,451|106|440,3,466|150|373|451|106|440,[1 1 1]
273|295|162|471|43|223,244|365|492,11,471|43|223|244|365|492,[5 1 5]
164|380|161|459|369|391,338|423|214,11,459|369|391|338|423|214,[1 5 5]
17|161|499|225|279|462,275|208|347,7,225|279|462|275|208|347,[5 1 1]
112|76|317|353|371|363,158|73|335,10,317|353|371|363|73|335,[0 5 5]
184|162|175|348|327|418,455|402|196,6,175|348|327|418|455|402,[1 5 0]
440|354|18|259|286|386,398|106|74,2,18|259|286|386|398|106,[1 1 0]
145|262|484|268|492|260,110|188|53,1,262|484|268|492|260|188,[0 1 0]
216|133|4|40|260|311,440|446|40,0,216|133|4|40|260|311,[0 0 0]
63|406|214|281|392|78,439|392|485,2,214|281|392|78|392|485,[0 1 1]
356|107|360|119|393|72,371|286|443,1,107|360|119|393|72|286,[0 1 0]
124|386|431|333|248|180,307|219|240,2,431|333|248|180|307|219,[1 1 0]
281|421|310|185|47|133,6|300|310,1,421|310|185|47|133|300,[0 1 0]
416|73|394|356|416|214,131|490|62,6,394|356|416|214|131|490,[5 1 0]
134|147|406|427|39|57,68|229|400,6,406|427|39|57|68|229,[1 5 0]
420|152|329|181|214|415,170|270|473,0,420|152|329|181|214|415,[0 0 0]
173|182|48|251|121|373,24|185|32,5,182|48|251|121|373|185,[0 5 0]
167|318|213|6|176|50,410|320|175,10,213|6|176|50|410|175,[5 0 5]
374|479|465|463|312|289,312|268|30,3,463|312|289|312|268|30,[1 1 1]
359|13|211|297|353|447,178|168|382,6,211|297|353|447|178|382,[1 0 5]
162|304|459|52|36|2,292|259|454,6,459|52|36|2|292|259,[1 5 0]
464|84|330|491|44|85,261|493|318,10,330|491|44|85|261|318,[5 0 5]
89|407|315|71|303|395,205|461|141,1,407|315|71|303|395|205,[1 0 0]
142|389|187|162|32|49,295|271|457,3,162|32|49|295|271|457,[1 1 1]
84|358|404|20|355|147,46|174|320,0,84|358|404|20|355|147,[0 0 0]
88|306|149|413|484|371,423|103|41,7,413|484|371|423|103|41,[1 5 1]
382|111|322|427|348|58,222|189|36,3,427|348|58|222|189|36,[1 1 1]
71|61|183|108|355|194,357|232|165,5,61|183|108|355|194|165,[0 0 5]
183|80|372|270|160|334,264|135|470,2,372|270|160|334|264|470,[1 0 1]
164|138|16|71|396|441,185|262|426,6,16|71|396|441|185|426,[1 0 5]
395|10|200|102|395|221,24|27|377,1,10|200|102|395|221|377,[0 0 1]
102|12|338|18|8|37,420|300|207,1,12|338|18|8|37|207,[0 0 1]
462|28|213|378|288|385,353|389|53,1,28|213|378|288|385|389,[0 1 0]
30|425|275|299|343|71,305|365|245,5,425|275|299|343|71|365,[0 5 0]
482|205|387|494|335|413,21|467|245,1,205|387|494|335|413|245,[0 0 1]
386|89|66|18|406|56,459|9|210,1,89|66|18|406|56|9,[0 1 0]
338|203|202|357|140|406,239|130|280,0,338|203|202|357|140|406,[0 0 0]
239|7|496|387|334|411,431|400|253,2,496|387|334|411|431|400,[1 1 0]
434|84|132|251|397|171,492|17|133,1,84|132|251|397|171|17,[0 1 0]
499|312|249|369|65|199,4|280|410,10,249|369|65|199|4|410,[5 0 5]
157|414|164|206|170|481,436|202|332,1,414|164|206|170|481|202,[0 1 0]
77|0|353|125|4|229,273|220|145,1,0|353|125|4|229|145,[0 0 1]
357|287|213|193|147|223,329|466|177,7,193|147|223|329|466|177,[1 1 5]
220|490|271|228|45|387,408|350|266,6,271|228|45|387|350|266,[0 1 5]
178|44|88|321|290|287,132|100|323,2,88|321|290|287|132|100,[1 1 0]
184|423|226|307|499|325,448|462|374,5,423|226|307|499|325|462,[0 5 0]
476|367|202|384|453|469,97|208|50,6,202|384|453|469|97|50,[1 0 5]
401|32|440|262|133|329,259|60|303,5,32|440|262|133|329|303,[0 0 5]
428|407|224|365|106|126,75|148|482,5,407|224|365|106|126|75,[5 0 0]
2|381|399|422|101|326,193|47|251,1,381|399|422|101|326|193,[1 0 0]
393|242|183|96|297|36,268|316|154,5,242|183|96|297|36|268,[5 0 0]
463|445|348|426|101|120,353|229|387,0,463|445|348|426|101|120,[0 0 0]
150|90|195|370|326|231,431|3|295,2,195|370|326|231|431|295,[1 0 1]
483|384|199|201|223|258,141|398|281,2,199|201|223|258|398|281,[0 1 1]
49|64|213|43|143|165,337|4|435,1,64|213|43|143|165|435,[0 0 1]
447|135|385|45|232|46,350|268|328,1,135|385|45|232|46|350,[1 0 0]
80|414|451|286|365|456,250|72|226,10,451|286|365|456|250|72,[5 5 0]
162|494|408|35|177|298,235|331|69,1,494|408|35|177|298|69,[0 0 1]
161|157|449|168|59|185,335|292|0,2,449|168|59|185|335|292,[1 1 0]
337|172|335|458|272|85,83|381|353,5,172|335|458|272|85|83,[5 0 0]
310|76|133|400|149|163,221|340|186,1,76|133|400|149|163|186,[0 0 1]
288|58|112|441|414|297,294|353|305,1,58|112|441|414|297|294,[1 0 0]
56|297|158|164|298|322,449|464|117,6,158|164|298|322|449|464,[5 1 0]
83|18|414|25|222|87,257|257|442,2,414|25|222|87|257|442,[0 1 1]
332|265|73|362|171|200,326|161|57,2,73|362|171|200|326|161,[1 1 0]
303|176|299|40|377|469,498|392|174,6,299|40|377|469|498|174,[5 0 1]
130|149|67|91|204|494,244|384|219,1,149|67|91|204|494|384,[0 1 0]
92|372|83|206|99|108,144|86|497,5,372|83|206|99|108|86,[0 5 0]
427|126|181|378|356|258,57|364|362,5,126|181|378|356|258|57,[5 0 0]
301|299|337|374|46|123,68|9|169,2,337|374|46|123|68|169,[1 0 1]
336|212|82|4|347|431,447|28|66,10,82|4|347|431|28|66,[0 5 5]
258|460|87|10|417|287,252|2|96,2,87|10|417|287|252|96,[1 0 1]
245|235|275|391|43|281,48|35|179,0,245|235|275|391|43|281,[0 0 0]
132|51|478|75|314|87,349|410|56,0,132|51|478|75|314|87,[0 0 0]
432|421|495|368|391|260,333|107|383,2,495|368|391|260|107|383,[0 1 1]
409|116|104|227|72|66,31|442|1,6,104|227|72|66|442|1,[0 1 5]
378|496|42|58|283|321,414|133|430,10,42|58|283|321|414|133,[5 5 0]
424|36|196|78|472|316,147|91|319,0,424|36|196|78|472|316,[0 0 0]
271|447|452|68|17|496,316|71|330,0,271|447|452|68|17|496,[0 0 0]
375|260|432|27|477|64,335|68|193,0,375|260|432|27|477|64,[0 0 0]
349|202|400|405|382|437,12|457|56,1,202|400|405|382|437|457,[0 1 0]
205|136|270|44|39|447,111|115|209,6,270|44|39|447|111|209,[1 0 5]
427|237|337|415|346|15,115|236|279,3,415|346|15|115|236|279,[1 1 1]
382|26|171|63|309|155,47|243|417,7,63|309|155|47|243|417,[1 1 5]
175|244|463|180|297|259,420|59|105,10,463|180|297|259|59|105,[0 5 5]
329|149|19|5|351|342,391|264|83,5,149|19|5|351|342|264,[0 5 0]
422|341|57|105|98|157,410|428|114,5,341|57|105|98|157|410,[5 0 0]
420|78|431|130|471|208,318|13|179,6,431|130|471|208|318|13,[5 1 0]
305|4|58|164|120|252,136|266|91,0,305|4|58|164|120|252,[0 0 0]
246|223|384|499|31|462,258|165|144,1,223|384|499|31|462|258,[1 0 0]
291|239|487|409|146|275,385|237|461,6,487|409|146|275|385|461,[1 0 5]
237|114|476|360|285|123,436|162|74,1,114|476|360|285|123|162,[0 1 0]
59|293|339|482|479|60,467|221|463,1,293|339|482|479|60|467,[1 0 0]
268|321|289|70|164|190,67|268|129,0,268|321|289|70|164|190,[0 0 0]
209|95|187|351|258|20,347|182|32,0,209|95|187|351|258|20,[0 0 0]
